author,category,language,editor,edition,totalPages,damagedPages,age,price
David Rocha,Science,French,Springer,4th,840,60,7,84.7
Tiffany Miller,History,French,Springer,10th,905,86,0,0.5
Daniel Barr,History,German,Springer,3th,553,46,0,80.94
Alicia Klein,Fiction,French,Oxford,4th,295,22,2,71.28
Mark Daniels,Non-Fiction,German,Springer,6th,415,23,1,81.61
Sharon Davis,Science,Spanish,Oxford,7th,590,45,3,148.15
Kayla Johnson,Biography,German,Penguin,8th,812,40,7,41.29
Mrs. Stephanie Wiggins MD,Technology,Spanish,Oxford,9th,415,39,2,5.49
Anthony Benton,History,French,Cambridge,1th,531,6,3,78.24
Claudia Wu,Biography,German,Springer,8th,518,23,5,84.44
Julie Gibbs,Philosophy,German,Macmillan,2th,940,77,8,65.09
Whitney Thomas,Fantasy,Italian,HarperCollins,10th,121,0,0,49.39
Patty Webb,Biography,German,HarperCollins,7th,218,16,9,58.87
Allen Miller,Fantasy,English,Oxford,4th,652,23,5,89.8
Susan Hill,Fantasy,French,HarperCollins,8th,288,10,4,61.38
Brooke Foster,Fantasy,Italian,Macmillan,9th,550,20,5,28.66
Ann Webster,Science,Italian,Macmillan,7th,509,38,7,2.03
Jesse Rodriguez,Fantasy,English,HarperCollins,6th,278,13,7,15.94
Cheyenne Lucas,History,French,Springer,6th,981,2,4,69.8
Anthony Rios,Fantasy,Italian,HarperCollins,8th,395,3,6,91.05
Christopher Cole,Science,French,Cambridge,9th,535,27,4,11.59
Stephanie Tran,Fantasy,French,Macmillan,4th,417,22,2,71.18
Tammy Potter,Biography,German,Simon & Schuster,3th,583,3,5,27.36
Nathan Ortega,Science,German,Penguin,8th,642,62,7,9.97
Crystal Clayton,Fantasy,Spanish,Springer,3th,741,14,2,20.35
Amy Mercer,Non-Fiction,Italian,Pearson,9th,131,3,1,41.42
Karen Freeman,Science,Spanish,Macmillan,9th,394,22,2,6.32
Tommy Berry,History,German,Cambridge,2th,797,30,8,69.35
Kimberly Payne,History,Spanish,Simon & Schuster,6th,782,18,8,85.6
David Harrison,Philosophy,Italian,Oxford,10th,897,66,6,25.0
Cassie Johnson,Science,Spanish,Springer,10th,522,42,8,15.05
Amy Medina,Biography,French,Springer,9th,973,62,1,41.14
Patricia Sparks,Fiction,German,Pearson,1th,611,27,3,62.68
Daniel Wolfe,History,German,Cambridge,5th,526,31,8,0.5
Amanda Taylor,Biography,German,HarperCollins,7th,424,11,0,92.07
Tracy Martinez,Fiction,Italian,Springer,3th,650,8,6,0.5
Ashley Higgins,Technology,Spanish,HarperCollins,7th,559,43,6,52.45
Erika Williams,Non-Fiction,Spanish,Cambridge,9th,709,12,5,34.33
David Taylor,Science,English,Cambridge,2th,782,70,6,112.16
Kelly Powers MD,History,Spanish,Pearson,7th,218,9,5,94.69
Carrie Bennett,History,French,Penguin,2th,474,14,10,41.53
Mr. Jeffery Brown,Science,Spanish,Penguin,7th,457,34,8,170.53
Kristen Brown,History,English,HarperCollins,3th,52,5,5,15.91
Brandon Orr,Science,Italian,Simon & Schuster,8th,352,18,4,55.36
Kristy Wallace,History,English,Pearson,8th,690,17,0,131.77
Tina Martinez,Philosophy,Italian,Macmillan,5th,110,7,6,58.78
Robert Lee,Science,German,Pearson,5th,431,25,9,15.77
Cassandra Serrano,Biography,Spanish,Cambridge,3th,309,0,1,36.25
Robert Prince,Biography,German,Macmillan,9th,152,14,2,84.02
Raymond Romero,History,English,Oxford,5th,911,7,3,86.78
Dr. Rebecca Wright DVM,History,German,Springer,8th,779,44,1,54.07
Kimberly Cole,Biography,French,Cambridge,4th,243,19,9,34.43
John Smith,Non-Fiction,English,Cambridge,10th,729,66,5,35.41
Miguel Melton,Biography,Spanish,Cambridge,6th,286,21,6,48.91
Brooke Edwards,Non-Fiction,French,Cambridge,3th,659,0,9,77.81
Kimberly Jackson,Science,German,Springer,9th,72,3,9,41.6
Ricky Adams,Technology,Italian,Springer,1th,761,46,0,171.51
Andrew Powell,Non-Fiction,Spanish,Macmillan,2th,515,32,2,14.91
Joshua Fletcher,Science,French,Springer,9th,259,21,6,74.13
Danielle Perez,Non-Fiction,French,Penguin,10th,539,31,0,18.93
Danielle Maldonado,Technology,German,Cambridge,3th,932,23,0,39.76
Crystal Garcia,Fiction,Spanish,Simon & Schuster,7th,774,43,7,63.84
Jason Carter,Technology,Spanish,Macmillan,5th,901,32,8,0.5
Stephen Taylor,Non-Fiction,German,Macmillan,10th,550,18,0,19.91
Joshua Rodriguez,Technology,English,Cambridge,10th,493,13,6,76.25
Stephen Dennis,Philosophy,German,Pearson,7th,540,10,6,85.51
Chad Daniels,Non-Fiction,Italian,Macmillan,8th,214,3,10,66.14
Heidi Johnson,Non-Fiction,French,Penguin,2th,682,44,2,32.92
Adam Obrien,History,French,Springer,8th,918,60,7,50.82
Jodi Rivera,Fantasy,German,Pearson,1th,792,55,8,13.99
Andrea Aguilar,Philosophy,German,HarperCollins,2th,738,2,1,64.09
Angelica Thomas,Technology,English,Cambridge,9th,884,19,4,0.5
Jason Austin,History,French,Simon & Schuster,7th,633,61,3,82.86
Veronica Brown,Fiction,Italian,Pearson,9th,92,1,7,46.83
Heather Barber,Technology,Italian,HarperCollins,9th,165,0,3,74.54
James Sampson,Philosophy,French,HarperCollins,1th,859,9,10,93.98
Timothy Cook,Fiction,Italian,Simon & Schuster,3th,452,15,10,20.97
Jose Middleton,Technology,Italian,Cambridge,7th,269,5,2,93.36
Aaron Castillo,Fantasy,French,Springer,3th,420,0,3,70.75
Samantha Lowe,Philosophy,Italian,Cambridge,8th,303,30,5,16.78
Brian Thompson,Fantasy,Spanish,Macmillan,6th,606,24,8,52.23
Frank Crawford,Science,German,Oxford,7th,474,27,0,16.11
Christopher Richardson,Technology,French,Penguin,10th,214,0,4,29.58
Elizabeth Yates,Technology,Italian,Penguin,5th,168,14,9,50.22
Haley Anderson,Technology,French,Penguin,1th,95,5,3,18.09
Cynthia Mccullough,Technology,German,Oxford,8th,249,1,6,95.04
Katherine Delgado,Philosophy,French,Pearson,7th,386,7,1,76.01
William Holt,Biography,Spanish,Oxford,8th,772,56,9,35.97
Julia Gilmore,Philosophy,French,Pearson,2th,812,58,0,37.72
Elizabeth Becker,History,French,Pearson,6th,710,59,1,61.81
Benjamin Bowers,Biography,German,Penguin,7th,703,35,6,31.02
Jesse Miller,Non-Fiction,French,Springer,7th,940,29,4,69.76
Joseph Robbins,Science,English,Cambridge,6th,446,10,10,27.61
Stephanie Fisher,Fantasy,English,Penguin,1th,696,0,10,147.71
Bryan Wright,History,Spanish,HarperCollins,8th,491,18,1,35.33
Amy Barber,Science,German,HarperCollins,9th,286,24,9,68.76
James Miranda,Non-Fiction,Italian,Penguin,2th,611,30,5,76.86
William Davis,Technology,French,Penguin,9th,811,19,9,43.82
John Hall,Technology,Italian,Penguin,4th,982,1,3,71.76
Ashley King,Technology,English,Springer,10th,539,43,0,1.43
Austin Miller,Technology,Italian,Macmillan,7th,191,13,1,85.64
Katrina Flores,Technology,Spanish,Cambridge,7th,445,28,6,6.31
Cole Stewart,Philosophy,English,Cambridge,3th,94,8,10,64.14
James Fitzgerald,Fiction,German,Penguin,5th,925,52,0,35.56
Michelle Smith,History,Spanish,HarperCollins,8th,665,65,7,0.5
Darren Vasquez,Philosophy,Italian,HarperCollins,10th,604,4,7,27.55
April Jones,Non-Fiction,German,Macmillan,9th,767,31,4,39.78
Jerry Clark,Non-Fiction,English,Cambridge,8th,551,29,3,55.69
Lisa Salinas,History,Italian,Macmillan,4th,159,14,0,84.66
Stephanie Peterson,Technology,German,Macmillan,7th,87,0,2,60.98
Jason Buck,Science,French,Cambridge,2th,659,18,2,64.63
Stephen Martin,History,Spanish,Oxford,4th,328,21,2,33.13
Michael Mccormick,Philosophy,English,HarperCollins,4th,709,3,7,2.38
Melanie Carr,Philosophy,Italian,HarperCollins,1th,864,55,10,17.94
Cindy Camacho,Philosophy,Italian,Penguin,1th,762,24,5,46.73
Edward Mejia,Fiction,German,Macmillan,5th,475,29,10,3.44
Alejandro James,Non-Fiction,Italian,Springer,3th,567,12,9,94.67
Clarence Roberts,Technology,English,Springer,10th,557,4,6,66.57
Maria Ford,Biography,Spanish,Macmillan,5th,642,15,7,5.68
Ann Gonzalez,History,French,HarperCollins,1th,884,48,6,5.65
Patrick Gonzales,Biography,Spanish,Macmillan,7th,235,14,0,31.64
Gregory Jordan,Fantasy,Spanish,Cambridge,7th,442,44,7,65.62
Michael Alvarez,Science,English,HarperCollins,1th,232,3,8,1.47
Jasmine Walters,Fantasy,English,Springer,8th,562,21,5,9.87
Edwin Johnson,Fantasy,French,Oxford,6th,675,45,7,54.96
Melody Fuentes,Biography,German,Simon & Schuster,9th,281,9,4,4.38
Annette Sanchez,Science,Italian,HarperCollins,2th,279,22,10,56.18
Briana Estrada,Fiction,German,Simon & Schuster,5th,998,37,10,65.48
Linda Lutz,Fiction,French,Springer,5th,763,53,1,55.6
Christine Martin,History,English,Simon & Schuster,1th,820,68,6,2.19
Jamie Velasquez,Fiction,English,Oxford,1th,269,8,0,88.04
Garrett Castaneda,Technology,Spanish,Oxford,1th,313,29,2,1.43
Darren Gates,Fantasy,German,Penguin,10th,267,0,2,78.72
Ricky Smith,Technology,English,HarperCollins,6th,291,25,0,50.65
Jacqueline Mcdaniel,Philosophy,German,Springer,10th,579,13,8,13.75
Bonnie Johnson,Technology,English,Oxford,10th,83,0,2,49.3
Angela Hebert,Science,Spanish,HarperCollins,5th,694,64,0,9.07
Heather Buckley,Technology,Spanish,Macmillan,6th,796,7,5,92.75
Michael Jordan,Fiction,English,Penguin,3th,96,0,4,42.56
Anna Smith,Philosophy,German,Cambridge,4th,900,5,6,52.29
Andrew James,Technology,French,Oxford,4th,924,22,2,67.71
Erik Dean,Fantasy,German,HarperCollins,2th,548,11,1,188.8
Karen Stewart,Fiction,Spanish,Springer,5th,507,38,1,0.5
Ronald Daniel,Non-Fiction,German,Pearson,4th,97,6,0,103.96
Samantha Williams,Science,Italian,Simon & Schuster,4th,466,12,9,28.96
Jennifer Ruiz,Non-Fiction,English,Springer,4th,81,3,0,35.37
Ronald Harris,Biography,Italian,Penguin,3th,848,29,3,76.3
Lori Garcia,Fantasy,French,Penguin,10th,323,24,5,55.93
Jason Duarte,Technology,Spanish,Simon & Schuster,8th,771,71,10,49.86
Christopher Castaneda,Science,Spanish,Penguin,4th,649,33,2,26.47
Robert Perry,Technology,French,Cambridge,10th,831,66,2,60.74
Karen Ryan,Biography,Spanish,Simon & Schuster,9th,954,4,4,60.68
Brian Matthews,Fantasy,French,Macmillan,4th,520,49,7,36.47
Kimberly Santana,Science,English,Simon & Schuster,7th,394,1,2,19.52
Hannah Farmer,Science,German,Cambridge,8th,107,4,10,76.65
Victor Watts,Biography,Spanish,Macmillan,2th,257,7,4,47.55
Isabella Dawson,Philosophy,English,Cambridge,9th,53,4,9,55.45
John Santos,Non-Fiction,Spanish,Oxford,10th,1000,31,10,38.26
David Marshall,Science,Italian,Simon & Schuster,3th,681,59,6,74.3
Jacqueline Potter,Philosophy,French,Oxford,6th,266,13,2,90.25
John Bennett,Science,French,Penguin,1th,388,37,10,47.44
Brittany Lane,Fantasy,French,Pearson,5th,310,1,2,68.45
Jennifer Smith,Fiction,English,Cambridge,8th,241,16,3,18.88
David Phillips,History,German,Springer,8th,448,29,3,36.06
Samantha Weber,Technology,French,Oxford,3th,322,3,10,60.88
Lauren Bowers,Fantasy,Spanish,Oxford,7th,782,22,5,63.81
Rebecca Rhodes,Biography,French,Springer,9th,316,9,7,86.17
Anna Henderson DDS,Philosophy,English,Simon & Schuster,7th,358,35,5,28.8
Audrey Lopez,Technology,French,HarperCollins,4th,690,41,4,18.17
Robert Hughes,Fiction,Spanish,HarperCollins,7th,272,24,9,50.72
John Martin,Fiction,English,Oxford,1th,273,0,6,52.09
Shannon Beck,Science,German,Penguin,7th,138,2,2,169.87
Danny Ball,Fiction,Spanish,Macmillan,9th,938,55,4,65.88
Suzanne Webster,History,French,Springer,2th,739,30,5,41.61
Tracy Sellers,Non-Fiction,German,Cambridge,6th,123,9,8,49.63
Timothy Padilla,Non-Fiction,English,Oxford,4th,579,42,5,84.37
Antonio Jones,Non-Fiction,Spanish,Springer,1th,834,57,3,67.9
Lisa Mckinney,Philosophy,Spanish,Springer,6th,696,3,1,52.79
Christine Gomez,Fantasy,French,Oxford,10th,166,15,9,93.33
Bryan Medina,Fiction,German,Pearson,10th,526,50,0,11.1
Danielle Williams,Fantasy,German,HarperCollins,4th,352,8,4,74.2
John Ryan,Technology,Italian,Springer,5th,645,64,5,0.95
David Cochran,Non-Fiction,English,HarperCollins,9th,826,44,1,19.66
Charles Walls,History,German,Cambridge,9th,85,2,3,73.7
Cynthia Smith,History,Spanish,Springer,10th,585,11,1,46.78
Christina Smith,Biography,German,HarperCollins,6th,426,6,8,13.2
Ashley Valdez,Non-Fiction,Italian,HarperCollins,8th,95,7,4,97.37
Rebecca Anderson,Science,Italian,Oxford,9th,553,21,2,130.46
Kenneth Clark,Philosophy,English,Springer,1th,601,32,7,61.72
Stephanie Blackwell,Biography,Spanish,Penguin,9th,79,2,10,24.97
Laura Harrison,Fantasy,Spanish,Penguin,10th,236,13,5,50.56
Carol Johnson,Fantasy,Italian,Oxford,1th,125,9,1,92.64
Matthew Simpson,Philosophy,German,Springer,5th,406,4,4,22.51
Christopher Copeland,Philosophy,English,Springer,8th,702,29,10,67.61
Jeffery Golden,History,Spanish,Oxford,9th,647,32,9,127.21
Tracy Sims,Non-Fiction,French,HarperCollins,1th,688,36,10,0.5
Cheryl Johnson,Science,German,Simon & Schuster,9th,941,90,4,9.67
Lauren Mccarty,Philosophy,French,Cambridge,2th,725,61,9,3.57
Vanessa Mckinney,Technology,German,Simon & Schuster,5th,978,29,5,44.49
Brandon Burnett,Biography,Spanish,Pearson,5th,275,0,2,25.92
Stephanie Goodman,Technology,Spanish,Pearson,4th,980,38,5,2.14
Stacy Mitchell,Philosophy,German,Springer,10th,988,0,5,90.9
Justin Jackson,Fantasy,English,Penguin,1th,704,5,0,40.49
David Rojas III,Biography,Italian,Cambridge,1th,128,3,3,16.93
Jeffrey Ward,History,English,HarperCollins,5th,583,1,2,38.41
Michelle Knight,Non-Fiction,French,Pearson,5th,484,8,0,35.98
Evelyn Walker,Technology,Italian,Macmillan,10th,911,81,6,71.16
Sean Carson,Fantasy,French,Simon & Schuster,10th,517,21,4,41.4
Erica Jones,Technology,Spanish,Simon & Schuster,4th,461,5,9,51.41
Lisa Bass,History,French,Pearson,8th,772,11,7,62.38
Gary Sims,Philosophy,English,Springer,7th,560,55,3,83.38
Angela Johnson,Philosophy,German,Penguin,8th,786,2,0,5.61
Kevin Brooks,Biography,English,Penguin,9th,292,22,10,72.55
Anthony Watkins,Technology,Italian,Pearson,6th,507,21,4,0.5
Tiffany Lewis,Technology,French,Penguin,7th,523,3,1,47.24
Robert Munoz,Non-Fiction,German,Cambridge,2th,120,6,6,43.77
David Chapman,Non-Fiction,Spanish,HarperCollins,3th,53,0,10,71.32
Tammy Haas,Science,English,Macmillan,10th,284,21,5,43.67
Mr. Caleb Patel,Non-Fiction,Spanish,Penguin,2th,962,82,7,49.29
Ashley Johnson,Fantasy,Italian,Pearson,1th,306,20,1,83.4
Kevin Murphy,Biography,English,HarperCollins,1th,458,12,9,16.77
Joseph Perry,History,English,Penguin,7th,599,47,10,10.02
Rachael Mcdowell,Biography,English,Oxford,9th,738,16,6,59.35
Christopher Stephenson,Fantasy,Spanish,Springer,1th,905,88,1,0.5
Yvette Brown,Biography,French,Simon & Schuster,8th,604,7,9,58.86
Ashley Williams,Philosophy,English,Cambridge,6th,162,4,2,72.22
Rachel Brady,Fiction,English,HarperCollins,2th,546,17,4,55.71
Jason Lewis,Fiction,Italian,Simon & Schuster,4th,933,69,4,175.56
Alyssa Lloyd,Science,French,Pearson,3th,253,4,2,60.21
Daniel Hess,Fiction,Italian,Oxford,2th,198,8,7,81.03
Brandon Torres,Technology,English,HarperCollins,5th,449,44,1,33.39
Jessica Martinez,Fantasy,Italian,Springer,4th,991,51,6,75.0
James Robinson,Philosophy,English,Cambridge,2th,843,80,10,8.57
Daniel Lopez,Fiction,French,Penguin,10th,227,11,6,88.7
Ronald Lopez,Fantasy,French,HarperCollins,5th,552,16,4,45.27
Susan Flynn,History,Spanish,Pearson,2th,798,41,10,38.87
Reginald Mccarty,Science,German,HarperCollins,10th,475,26,9,6.48
Thomas Wilson,Philosophy,English,HarperCollins,5th,645,56,8,7.75
Angelica Cook,Technology,French,Simon & Schuster,2th,450,15,2,12.63
Caitlin Walker,Fiction,Spanish,Penguin,8th,683,25,6,30.2
Tyler Hopkins,Non-Fiction,German,Pearson,10th,379,19,4,47.6
Allison Oconnor,Non-Fiction,Spanish,Penguin,1th,804,64,3,3.94
Jessica Castillo,Non-Fiction,German,Springer,1th,904,90,7,14.78
Justin Harvey,Science,French,Springer,1th,581,48,7,9.01
Corey Myers,Technology,English,Simon & Schuster,3th,760,44,1,85.96
William Frank,Fiction,German,Pearson,8th,810,61,7,56.21
Linda Walker,History,Italian,Springer,9th,675,30,8,85.61
Erica Griffin,Science,German,Cambridge,6th,670,48,4,0.5
Roberto Curtis,History,French,Springer,4th,791,5,0,92.02
Amanda Long,Philosophy,German,Simon & Schuster,6th,723,57,2,119.61
Donna Carter,Fiction,Spanish,Simon & Schuster,8th,199,19,5,84.4
Ronnie Mayer,Non-Fiction,Spanish,Cambridge,10th,885,50,4,5.04
Angelica Kaufman,Fantasy,English,Penguin,4th,870,44,3,15.7
Robert Allen,Biography,German,Springer,1th,859,76,7,12.17
Anthony Smith,Fantasy,German,Macmillan,2th,581,16,5,92.69
Ashley Rodriguez,Philosophy,English,Pearson,10th,562,11,4,41.76
Sandra Harris,Biography,French,Simon & Schuster,1th,332,15,6,28.44
Christine Rogers,History,Italian,Simon & Schuster,8th,487,24,3,21.16
Katherine Roth,Science,French,Cambridge,7th,981,29,9,64.73
Noah Floyd,History,German,Penguin,3th,204,9,5,48.44
Leslie Anderson MD,Technology,German,HarperCollins,10th,694,54,2,45.75
Nicholas Calhoun,Fiction,Italian,Penguin,8th,674,49,2,62.35
Michael Russell,Biography,French,Macmillan,3th,546,10,4,19.37
Olivia Hill,Fantasy,English,Oxford,2th,270,17,1,38.73
Jasmine Graham,History,Spanish,Springer,2th,289,22,0,0.5
Maria Gardner DDS,Philosophy,French,Oxford,3th,245,23,3,7.86
Heidi Hardy,Fantasy,English,HarperCollins,7th,393,36,0,54.65
Sarah Thompson,Biography,English,Simon & Schuster,3th,115,3,8,41.88
Ronald Shelton,Technology,German,HarperCollins,8th,418,24,6,33.3
Sarah Anderson,Biography,Italian,Macmillan,10th,762,13,5,22.77
Andrew Mathis,Philosophy,French,Macmillan,10th,218,10,0,59.12
Danielle Dunn,Non-Fiction,English,Oxford,7th,844,4,0,16.44
Rachel Parker,Non-Fiction,Spanish,Penguin,10th,99,8,3,16.07
Scott Howard,Philosophy,Italian,HarperCollins,2th,86,8,6,49.96
Christopher Cameron,Science,French,Simon & Schuster,5th,617,34,8,2.36
Ashley Duffy,Fiction,French,Pearson,6th,925,37,5,69.43
Sandra Graham,Fiction,English,Cambridge,7th,668,37,2,83.69
Rebecca Smith,Philosophy,Italian,Penguin,7th,562,1,8,81.36
Mark Martin,Technology,Spanish,Pearson,8th,348,33,8,15.22
Michael Ford,Fantasy,Italian,Macmillan,8th,754,38,1,54.78
Tiffany Lopez,Non-Fiction,English,Penguin,5th,336,19,5,41.06
Anthony Miller,Biography,English,Cambridge,4th,312,27,0,26.45
Kevin Smith,Biography,Italian,Pearson,1th,244,17,8,64.32
Karen Vaughn,Fantasy,Italian,Oxford,7th,138,11,10,51.39
James Phillips,Non-Fiction,Spanish,Simon & Schuster,1th,885,20,10,66.73
Erica Wolfe,Non-Fiction,German,Oxford,6th,326,12,8,178.14
Andrew Eaton,Technology,Italian,Cambridge,9th,936,48,7,58.38
Nathaniel Avila,Philosophy,French,Pearson,2th,1000,53,4,27.2
Bobby Flores,Philosophy,French,Springer,8th,628,48,8,48.57
Cathy Johnson,History,Italian,Penguin,1th,66,4,2,30.08
Rachel Hester,Non-Fiction,English,Cambridge,7th,741,61,6,70.52
John Robertson,Technology,Spanish,Pearson,6th,167,5,6,49.77
Fernando Smith,Fiction,French,Simon & Schuster,3th,776,40,5,64.87
Brenda Miller,Biography,Spanish,Pearson,3th,888,19,0,24.62
Matthew Bennett,Fiction,French,Cambridge,2th,669,6,8,63.06
Jenna Mejia,Fantasy,French,Pearson,3th,596,32,8,48.84
Nicole Cohen,Biography,German,Macmillan,1th,972,74,10,52.29
Roberto Carter,Philosophy,Italian,Penguin,4th,555,46,7,47.75
Kelsey Blair,Technology,German,Macmillan,1th,905,14,8,80.29
Frederick Marquez,Philosophy,French,Springer,5th,216,10,4,10.11
John Alvarado,History,French,Penguin,6th,725,52,1,74.71
Amy Montes,Biography,Spanish,HarperCollins,9th,133,11,3,39.3
Lisa Jimenez,Science,Italian,Macmillan,6th,387,37,1,185.99
Benjamin Mullins,Biography,Spanish,Simon & Schuster,7th,922,46,10,0.99
Tammy Jones,Technology,Italian,Macmillan,3th,664,35,6,46.23
Steven Sims,Fantasy,German,Macmillan,8th,939,51,0,60.04
Mariah Johnson,Science,English,Pearson,2th,193,9,0,42.49
Michael Lopez,History,Spanish,Macmillan,4th,623,45,0,24.66
Ernest Dunn,Technology,French,Cambridge,9th,151,11,0,32.19
Tyler Leonard,Philosophy,English,Cambridge,1th,230,12,10,77.99
Carrie Zimmerman,Fantasy,French,Oxford,3th,574,32,1,5.81
John Foster,Technology,Italian,Pearson,6th,842,53,0,85.13
Bobby Davis,History,Spanish,HarperCollins,2th,682,51,9,35.45
Annette Barnes,Science,English,Simon & Schuster,6th,119,5,5,51.35
Alex Wilson,Biography,German,Springer,4th,950,81,0,0.5
Philip Hoover,Technology,German,Penguin,2th,929,9,3,160.06
Elizabeth Hickman,Fiction,French,Pearson,1th,275,2,3,83.46
George Harris,Fantasy,German,Springer,2th,302,26,7,10.43
Nathan Christensen,Biography,English,HarperCollins,2th,790,3,1,80.75
Paul Brock,Non-Fiction,German,Pearson,7th,907,36,7,64.13
Megan Hart,Non-Fiction,Spanish,Oxford,8th,201,17,7,77.56
Nicholas Webb,Biography,German,Springer,4th,420,42,0,0.5
Daniel Stone,Philosophy,English,Penguin,3th,358,2,2,54.49
Jeffery Baker,Technology,Spanish,Macmillan,6th,968,28,9,78.05
Justin Edwards,Biography,French,HarperCollins,6th,267,18,7,5.87
Crystal Torres,Technology,Spanish,Simon & Schuster,7th,887,42,2,17.93
Dawn Willis,Non-Fiction,English,Cambridge,6th,405,25,9,71.19
Bryan Holmes,Biography,English,Simon & Schuster,4th,449,18,7,38.52
Brandy Munoz,Non-Fiction,Spanish,HarperCollins,10th,956,28,10,38.02
Madison Shields,Fiction,Spanish,Cambridge,1th,412,2,7,63.25
Michael Prince,Biography,Spanish,Macmillan,4th,816,59,4,48.83
Timothy Rivas,History,German,Oxford,7th,792,56,7,64.49
Melissa Jordan,Non-Fiction,German,Macmillan,6th,479,43,2,29.13
Daniel Reese,Philosophy,Italian,Simon & Schuster,3th,710,44,1,75.04
Michael Smith,Philosophy,German,Simon & Schuster,6th,950,33,3,14.26
David Moore,Non-Fiction,Italian,Simon & Schuster,7th,393,28,10,62.46
Jennifer Howell,Fantasy,Spanish,HarperCollins,8th,355,25,0,45.07
Joshua Turner,Fiction,English,Pearson,7th,544,20,10,44.57
Tonya Young,Biography,English,Cambridge,10th,676,34,9,5.62
Heidi Gray,Fiction,German,Simon & Schuster,10th,486,20,1,11.42
Stephen Jimenez,Fiction,English,Macmillan,4th,406,4,6,46.26
Christopher Brown,Fiction,German,Springer,10th,701,25,2,85.43
Peter Smith,Philosophy,English,Oxford,1th,120,4,7,0.5
Matthew Johns,Philosophy,Spanish,Cambridge,7th,638,53,7,72.56
Jessica Peterson,Science,Spanish,Oxford,7th,221,12,3,77.5
Tiffany Ellis,Science,Spanish,Simon & Schuster,8th,958,36,1,40.97
Alexandra Blair,Fiction,German,Pearson,7th,258,0,0,66.28
Amanda Ortiz,Philosophy,German,Pearson,4th,262,19,8,65.93
Briana Mitchell,Philosophy,German,Pearson,7th,451,20,3,72.87
Malik Wright,Science,French,Cambridge,5th,495,41,0,14.93
Sarah Thomas,Science,French,Pearson,4th,428,24,9,42.84
Sandra Russo,Science,Spanish,Macmillan,2th,125,3,7,78.89
Elizabeth Grant,Biography,Spanish,Penguin,5th,128,11,9,91.7
Amber Byrd,Philosophy,German,HarperCollins,2th,293,10,8,38.84
Cody Moyer,Fantasy,Spanish,Penguin,10th,394,4,2,59.62
Kimberly Howell,Science,Spanish,Oxford,9th,632,23,9,19.17
Ebony May,Technology,Italian,HarperCollins,7th,915,83,2,39.0
Melissa Nunez,Science,English,Penguin,8th,950,8,2,173.6
Bradley Cox,Fiction,German,Penguin,7th,456,3,5,67.84
Christopher Mullins,Science,French,Simon & Schuster,4th,247,2,1,7.64
David Duran,History,Italian,Simon & Schuster,2th,611,40,5,8.65
Shannon Valdez MD,Non-Fiction,French,Macmillan,3th,558,40,10,123.22
Heather Wang,Philosophy,French,Penguin,5th,693,58,2,163.64
Megan Robertson,Technology,German,Simon & Schuster,9th,749,41,9,12.64
Michael Welch,Biography,English,HarperCollins,2th,761,59,5,6.8
Becky Wilson,Biography,English,Springer,7th,103,8,0,59.39
Carolyn Peterson,Fantasy,Italian,Simon & Schuster,5th,53,3,1,34.94
Cameron Green,Philosophy,English,Pearson,7th,604,10,10,11.23
Darrell Salazar,Fantasy,Italian,Pearson,2th,379,34,7,38.29
Tara Pittman,Science,Spanish,Springer,9th,304,23,9,0.5
Ashlee Mathews,Philosophy,Spanish,Simon & Schuster,6th,72,3,1,90.43
Julie Gray,Biography,Italian,Pearson,6th,651,35,9,10.24
April Allen,Biography,Italian,Cambridge,2th,140,14,9,87.91
Stephanie Valdez,Technology,English,Penguin,7th,938,22,3,34.33
William Lee,Philosophy,French,Oxford,6th,121,6,0,61.97
Andres Clarke,History,French,Springer,5th,682,13,1,27.1
Antonio Dunn,Science,Italian,Springer,3th,234,16,6,15.47
Paige Wilcox,Fantasy,Spanish,Penguin,9th,263,14,8,39.62
Holly Norris,Fiction,German,HarperCollins,10th,568,1,1,24.8
Peter Berger,Fantasy,French,Penguin,9th,186,11,9,33.98
Holly Wolfe,History,Spanish,Pearson,10th,603,22,5,44.1
Leah Small,Fiction,German,Cambridge,4th,54,1,2,94.28
Michael Burns,Biography,Spanish,Oxford,6th,295,9,4,30.65
James Williams,Science,German,Springer,1th,923,7,9,24.86
Matthew Barber,Technology,Italian,Oxford,2th,536,8,4,44.17
John Duran,Fantasy,French,HarperCollins,10th,748,66,9,0.5
Benjamin Hanson,Fantasy,German,Springer,8th,708,35,5,61.11
Rebecca Williams,History,English,Simon & Schuster,3th,479,40,6,56.6
Robert Mclean,Philosophy,German,Oxford,6th,442,27,8,31.24
Mark Dunn,History,Spanish,HarperCollins,5th,651,38,8,52.68
Dennis Andrews,Biography,German,Springer,6th,400,27,3,157.81
Kelli Schneider,Philosophy,English,Oxford,9th,533,30,5,20.04
Gary Hall,Philosophy,English,Macmillan,4th,563,36,5,89.15
Rachel Beck,Philosophy,French,Oxford,10th,332,13,2,5.06
Terri Bradley,Fiction,French,Penguin,9th,761,25,6,56.19
Robert Wood,Biography,German,Penguin,7th,444,20,6,8.79
Melissa Hall,Science,Italian,Pearson,2th,548,31,9,69.58
Joseph Mendoza,History,German,Springer,10th,522,35,1,51.65
Jacqueline Brandt,Science,Italian,Oxford,1th,156,15,5,50.8
Tracey Flores,Technology,Spanish,Macmillan,6th,911,1,5,99.66
